,Tokens
136888,2
136889,.
136890,If
136891,the
136892,file
136893,you
136894,search
136895,for
136896,the
136897,expression
136898,does
136899,not
136900,contain
136901,that
136902,text
136903,","
136904,and
136905,you
136906,want
136907,to
136908,skip
136909,it
136910,","
136911,check
136912,if
136913,you
136914,obtained
136915,a
136916,match
136917,object
136918,:
136919,I
136920,'m
136921,searching
136922,for
136923,a
136924,string
136925,Number
136926,of
136927,"copies: in a text file and once it's found, I want to print the digits associated with it, so I'm searching for, (\sNumber of copies: (\d{1,2})"
136928,)
136929,and
136930,I
136931,want
136932,to
136933,return
136934,"(\d{1,2})."
136935,I
136936,'ve
136937,been
136938,researching
136939,nested
136940,groups
136941,in
136942,REGEX
136943,","
136944,but
136945,I
136946,don
136947,'t
136948,have
136949,the
136950,syntax
136951,down
136952,for
136953,it
136954,in
136955,Python
136956,.
136957,Any
136958,help
136959,would
136960,be
136961,appreciated
136962,.
136963,Here
136964,what
136965,the
136966,line
136967,I
136968,'m
136969,looking
136970,for
136971,in
136972,a
136973,text
136974,file
136975,looks
136976,"like:
My desired output would just be 2 and 2 because I'm looking for the number that follows the text.
fi2Content represent a whole text file read by Python.
I can print(zDiscs)"
136977,but
136978,I
136979,can
136980,'t
136981,print
136982,(zDiscs.group(2)).
136983,Why
136984,?
136985,I
136986,get
136987,the
136988,following
136989,"error:
when I try to print(zDiscs.group(2)"
136990,)
136991,Here
136992,'s
136993,my
136994,whole
136995,script
136996,if
136997,that
136998,helps
136999,troubleshooting
137000,can
137001,get
137002,the
137003,raw
137004,text
137005,of
137006,the
137007,file
137008,if
137009,there
137010,'s
137011,a
137012,way
137013,to
137014,pass
137015,that
137016,directly
137017,to
137018,configparser
137019,Try
137020,configparser
137021,.ConfigParser.read_string
137022,When
137023,coupled
137024,with
137025,an
137026,appropriate
137027,ZIP
137028,file
137029,","
137030,this
137031,code
137032,works
137033,for
137034,me
137035,:
137036,Upon
137037,reflection
137038,","
137039,the
137040,following
137041,might
137042,be
137043,more
137044,appropriate
137045,:
137046,ZipFile
137047,not
137048,only
137049,supports
137050,read
137051,but
137052,also
137053,open
137054,","
137055,which
137056,returns
137057,a
137058,file
137059,-like
137060,object
137061,.
137062,So
137063,","
137064,you
137065,could
137066,do
137067,something
137068,like
137069,this
137070,:
137071,I
137072,am
137073,creating
137074,a
137075,program
137076,that
137077,loads
137078,and
137079,runs
137080,python
137081,scripts
137082,from
137083,a
137084,compressed
137085,file
137086,.
137087,Along
137088,with
137089,those
137090,python
137091,scripts
137092,","
137093,I
137094,have
137095,a
137096,config
137097,file
137098,that
137099,I
137100,previously
137101,used
137102,configparser
137103,to
137104,load
137105,info
137106,from
137107,in
137108,an
137109,uncompressed
137110,version
137111,of
137112,the
137113,program
137114,.
137115,Is
137116,it
137117,possible
137118,to
137119,directly
137120,read
137121,config
137122,files
137123,in
137124,zip
137125,files
137126,directly
137127,with
137128,configparser
137129,?
137130,or
137131,do
137132,I
137133,have
137134,to
137135,unzip
137136,it
137137,into
137138,a
137139,temp
137140,folder
137141,and
137142,load
137143,it
137144,from
137145,there
137146,?
137147,I
137148,have
137149,tried
137150,directly
137151,giving
137152,the
137153,"path:
Didn't work. no surprises there.
Then I tried using zipfile
and found that it didn't work either.
so I've resorted to creating a temp folder, uncompressing to it, and reading the conf file there.  I would really like to avoid this if possible as the conf files are the only limiting factor. I can (and am)"
137154,loading
137155,the
137156,python
137157,modules
137158,from
137159,the
137160,zip
137161,file
137162,just
137163,fine
137164,at
137165,this
137166,point
137167,.
137168,I
137169,can
137170,get
137171,the
137172,raw
137173,text
137174,of
137175,the
137176,file
137177,if
137178,there
137179,'s
137180,a
137181,way
137182,to
137183,pass
137184,that
137185,directly
137186,to
137187,configparser
137188,","
137189,but
137190,searching
137191,the
137192,docs
137193,I
137194,came
137195,up
137196,empty
137197,handed
137198,.
137199,Update
137200,:
137201,I
137202,tried
137203,using
137204,stringIO
137205,as
137206,a
137207,file
137208,object
137209,","
137210,and
137211,it
137212,seems
137213,to
137214,work
137215,somewhat
137216,.
137217,configparser
137218,doesn
137219,'t
137220,reject
137221,it
137222,","
137223,but
137224,it
137225,doesn
137226,'t
137227,like
137228,it
137229,either
137230,.
137231,If
137232,I
137233,use
137234,read_file
137235,instead
137236,","
137237,it
137238,doesn
137239,'t
137240,error
137241,out
137242,","
137243,but
137244,doesn
137245,'t
137246,load
137247,anything
137248,either
137249,.
137250,I
137251,get
137252,a
137253,Local
137254,variable
137255,'first'
137256,referenced
137257,before
137258,assignment
137259,error
137260,when
137261,I
137262,run
137263,my
137264,code
137265,.
137266,That
137267,is
137268,just
137269,a
137270,part
137271,of
137272,my
137273,code
137274,where
137275,the
137276,error
137277,occurs
137278,.
137279,However
137280,when
137281,I
137282,paste
137283,the
137284,code
137285,into
137286,IDLE
137287,it
137288,works
137289,no
137290,problem
137291,so
137292,I
137293,don
137294,'t
137295,know
137296,why
137297,this
137298,is
137299,happening
137300,.
137301,Anyways
137302,","
137303,my
137304,full
137305,code
137306,(unfinished
137307,Tic
137308,Tac
137309,Toe
137310,):
137311,Python
137312,scans
137313,a
137314,function
137315,body
137316,for
137317,any
137318,assignments
137319,","
137320,and
137321,if
137322,they
137323,aren
137324,'t
137325,explicitly
137326,declared
137327,global
137328,","
137329,then
137330,it
137331,creates
137332,a
137333,local
137334,scope
137335,variable
137336,for
137337,that
137338,name
137339,.
137340,Because
137341,you
137342,assign
137343,to
137344,first
137345,in
137346,your
137347,reverse
137348,()
137349,function
137350,","
137351,and
137352,you
137353,haven
137354,'t
137355,explicitly
137356,declared
137357,first
137358,to
137359,be
137360,global
137361,within
137362,that
137363,function
137364,'s
137365,scope
137366,","
137367,python
137368,creates
137369,a
137370,local
137371,variable
137372,named
137373,first
137374,that
137375,hides
137376,the
137377,global
137378,one
137379,.
137380,It
137381,doesn
137382,'t
137383,matter
137384,that
137385,the
137386,assignment
137387,comes
137388,after
137389,the
137390,comparison
137391,;
137392,python
137393,implicitly
137394,declares
137395,all
137396,local
137397,variables
137398,at
137399,the
137400,beginning
137401,of
137402,the
137403,function
137404,.
137405,To
137406,fix
137407,this
137408,you
137409,can
137410,declare
137411,first
137412,to
137413,be
137414,global
137415,within
137416,the
137417,reverse
137418,()
137419,function
137420,","
137421,but
137422,as
137423,others
137424,have
137425,said
137426,","
137427,globals
137428,should
137429,be
137430,avoided
137431,when
137432,possible
137433,.
137434,It
137435,'s
137436,a
137437,good
137438,question
137439,","
137440,with
137441,not
137442,an
137443,easy
137444,to
137445,find
137446,answer
137447,.
137448,The
137449,main
137450,difference
137451,is
137452,that
137453,local
137454,-name()
137455,does
137456,not
137457,consider
137458,prefixes
137459,(namespaces)
137460,for
137461,tags
137462,.
137463,For
137464,example
137465,","
137466,given
137467,a
137468,node
137469,<x:html
137470,"xmlns:x=""http://www.w3.org/1999/xhtml""/>, the local-name will match the html tag, while //html will not work, and neither will //x:html.
Please consider the following code, if you have any questions feel free to ask.
Show me the code
Setup:
It is now not possible to use the tag selector:
But using local-name we can still get the element (considering the namespace)"
137471,Or
137472,strict
137473,namespace
137474,using
137475,name
137476,():
137477,Performance
137478,I
137479,parsed
137480,this
137481,website
137482,as
137483,a
137484,tree
137485,and
137486,used
137487,the
137488,following
137489,"queries:
Now onto actual namespaces. I parsed a block from here.
Conclusion
I had to rewrite to conclusion since after using the namespace method it became obvious that the gain when using namespaces is also there. Roughly 2 times faster when specifying the namespace (causing optimizations)"
137490,","
137491,rather
137492,than
137493,using
137494,local
137495,-name.
137496,I
137497,'m
137498,using
137499,lxml
137500,on
137501,Python
137502,2
137503,.7.
137504,Given
137505,a
137506,node
137507,","
137508,node
137509,and
137510,a
137511,child
137512,","
137513,child_element
137514,","
137515,what
137516,is
137517,the
137518,difference
137519,between
137520,"these:
node.xpath('./child_element')"
137521,node
137522,".xpath(""*[local-name()='child_element']"")"
137523,In
137524,other
137525,words
137526,","
137527,what
137528,'s
137529,going
137530,on
137531,under
137532,the
137533,hood
137534,here
137535,?
137536,Is
137537,there
137538,any
137539,reason
137540,one
137541,ought
137542,to
137543,be
137544,"""better"""
137545,than
137546,another
137547,(in
137548,terms
137549,of
137550,performance
137551,or
137552,correctness
137553,)?
137554,I
137555,'ve
137556,read
137557,through
137558,the
137559,lxml
137560,docs
137561,and
137562,a
137563,good
137564,deal
137565,of
137566,other
137567,XPath
137568,query
137569,resources
137570,and
137571,am
137572,not
137573,finding
137574,any
137575,real
137576,clarification
137577,.
137578,So
137579,","
137580,it
137581,'s
137582,a
137583,little
137584,hacky
137585,","
137586,but
137587,should
137588,be
137589,relatively
137590,robust
137591,.
137592,There
137593,are
137594,two
137595,main
137596,negatives
137597,"here:
Repeated calls to fromstring means that this code isn't extremely fast. About the same speed as parsing each document individually, much slower than if it were all one document
Errors are thrown relative to the current location in the document. It would be easy to add relative location support (just adding an accumulator to keep track of current location)"
137598,Basically
137599,the
137600,approach
137601,is
137602,to
137603,find
137604,the
137605,thrown
137606,errors
137607,and
137608,then
137609,parse
137610,just
137611,the
137612,section
137613,of
137614,the
137615,file
137616,above
137617,the
137618,error
137619,.
137620,If
137621,an
137622,error
137623,that
137624,isn
137625,'t
137626,related
137627,to
137628,the
137629,last
137630,of
137631,a
137632,root
137633,node
137634,is
137635,thrown
137636,then
137637,it
137638,is
137639,handled
137640,like
137641,a
137642,typical
137643,exception
137644,.
137645,The
137646,find_nth
137647,code
137648,is
137649,shamelessly
137650,stolen
137651,from
137652,this
137653,question
137654,.
137655,It
137656,'s
137657,possible
137658,that
137659,there
137660,aren
137661,'t
137662,many
137663,situations
137664,where
137665,this
137666,code
137667,is
137668,deeply
137669,useful
137670,","
137671,but
137672,for
137673,me
137674,with
137675,a
137676,large
137677,number
137678,of
137679,slightly
137680,irregular
137681,documents
137682,(very
137683,common
137684,with
137685,academic
137686,data
137687,)
137688,it
137689,'s
137690,invaluable
137691,.
137692,XML
137693,documents
137694,must
137695,have
137696,a
137697,single
137698,root
137699,element
137700,;
137701,otherwise
137702,","
137703,they
137704,are
137705,not
137706,well
137707,"-formed,"
137708,and
137709,are
137710,","
137711,in
137712,fact
137713,","
137714,not
137715,XML
137716,.
137717,Conformant
137718,parsers
137719,cannot
137720,parse
137721,non
137722,-well-formed
137723,"""XML""."
137724,When
137725,you
137726,construct
137727,your
137728,single
137729,XML
137730,document
137731,out
137732,of
137733,multiple
137734,documents
137735,","
137736,simply
137737,wrap
137738,the
137739,disparate
137740,root
137741,elements
137742,in
137743,a
137744,single
137745,root
137746,element
137747,.
137748,Then
137749,you
137750,'ll
137751,be
137752,able
137753,to
137754,use
137755,standard
137756,parsers
137757,such
137758,as
137759,lxml
137760,.
137761,So
137762,","
137763,I
137764,assume
137765,this
137766,is
137767,a
137768,pretty
137769,typical
137770,use
137771,case
137772,","
137773,but
137774,I
137775,can
137776,'t
137777,really
137778,find
137779,anything
137780,about
137781,support
137782,for
137783,this
137784,in
137785,the
137786,lxml
137787,documentation
137788,.
137789,Basically
137790,I
137791,'ve
137792,got
137793,an
137794,xml
137795,file
137796,that
137797,consists
137798,of
137799,a
137800,number
137801,of
137802,distinct
137803,xml
137804,documents
137805,(reviews
137806,in
137807,particular
137808,)
137809,The
137810,structure
137811,is
137812,approximately
137813,:
137814,Basically
137815,","
137816,I
137817,try
137818,to
137819,read
137820,the
137821,file
137822,in
137823,like
137824,so
137825,:
137826,But
137827,I
137828,get
137829,an
137830,error
137831,when
137832,I
137833,do
137834,so
137835,:
137836,Totally
137837,reasonable
137838,error
137839,","
137840,in
137841,fact
137842,it
137843,is
137844,an
137845,xml
137846,error
137847,and
137848,should
137849,be
137850,treated
137851,as
137852,such
137853,","
137854,but
137855,my
137856,question
137857,is
137858,:
137859,how
137860,do
137861,I
137862,get
137863,lxml
137864,to
137865,recognize
137866,that
137867,this
137868,is
137869,a
137870,list
137871,of
137872,xml
137873,documents
137874,and
137875,to
137876,parse
137877,accordingly
137878,?
137879,Is
137880,magic
137881,a
137882,real
137883,lxml
137884,function
137885,?
137886,How
137887,do
137888,you
137889,run
137890,a
137891,Python
137892,script
137893,from
137894,within
137895,Notepad
137896,++
137897,that
137898,opens
137899,in
137900,Windows
137901,Powershell
137902,and
137903,runs
137904,the
137905,script
137906,from
137907,the
137908,directory
137909,that
137910,the
137911,Python
137912,script
137913,is
137914,located
137915,even
137916,if
137917,there
137918,is
137919,a
137920,space
137921,in
137922,the
137923,directory
137924,path
137925,.
137926,To
137927,be
137928,able
137929,to
137930,run
137931,a
137932,Python
137933,script
137934,in
137935,Powershell
137936,you
137937,can
137938,press
137939,F5
137940,to
137941,open
137942,the
137943,run
137944,dialog
137945,box
137946,","
137947,to
137948,run
137949,the
137950,python
137951,script
137952,in
137953,powershell
137954,normally
137955,you
137956,can
137957,use
137958,;
137959,This
137960,however
137961,opens
137962,up
137963,Powershell
137964,in
137965,an
137966,ugly
137967,format
137968,similar
137969,to
137970,what
137971,cmd
137972,looks
137973,like
137974,by
137975,default
137976,however
137977,it
137978,does
137979,have
137980,all
137981,the
137982,features
137983,","
137984,it
137985,also
137986,does
137987,not
137988,run
137989,the
137990,script
137991,from
137992,the
137993,directory
137994,so
137995,relative
137996,paths
137997,don
137998,'t
137999,work
138000,.
138001,To
138002,make
138003,the
138004,Powershell
138005,look
138006,normal
138007,you
138008,should
138009,run
138010,it
138011,from
138012,the
138013,shortcut
138014,that
138015,is
138016,in
138017,the
138018,start
138019,menu
138020,","
138021,to
138022,allow
138023,it
138024,to
138025,work
138026,if
138027,the
138028,file
138029,path
138030,has
138031,a
138032,space
138033,in
138034,it
138035,you
138036,should
138037,put
138038,a
138039,\
138040,before
138041,the
138042,quotation
138043,marks
138044,.
138045,The
138046,working
138047,run
138048,command
138049,is
138050,therefore
138051,;
138052,Everything
138053,I
138054,found
138055,about
138056,this
138057,via
138058,searching
138059,was
138060,either
138061,wrong
138062,or
138063,incomplete
138064,in
138065,some
138066,way
138067,.
138068,So
138069,","
138070,how
138071,do
138072,I
138073,:
138074,delete
138075,everything
138076,in
138077,my
138078,postgresql
138079,database
138080,delete
138081,all
138082,my
138083,alembic
138084,revisions
138085,make
138086,it
138087,so
138088,that
138089,my
138090,database
138091,is
138092,100
138093,%
138094,like
138095,new
138096,This
138097,works
138098,for
138099,"me:
1)"
138100,Access
138101,your
138102,session
138103,","
138104,in
138105,the
138106,same
138107,way
138108,you
138109,did
138110,session
138111,".create_all,"
138112,do
138113,session
138114,.drop_all.
138115,2
138116,)
138117,Delete
138118,the
138119,migration
138120,files
138121,generated
138122,by
138123,alembic
138124,.
138125,3
138126,)
138127,Run
138128,session
138129,.create_all
138130,and
138131,initial
138132,migration
138133,generation
138134,again
138135,.
138136,No
138137,idea
138138,how
138139,to
138140,mess
138141,with
138142,alembic
138143,","
138144,but
138145,for
138146,the
138147,database
138148,","
138149,you
138150,can
138151,just
138152,log
138153,into
138154,the
138155,SQL
138156,console
138157,and
138158,use
138159,DROP
138160,DATABASE
138161,foo
138162,.
138163,Or
138164,were
138165,you
138166,wanting
138167,to
138168,clear
138169,out
138170,all
138171,the
138172,data
138173,","
138174,but
138175,leave
138176,the
138177,tables
138178,there
138179,?
138180,If
138181,so
138182,","
138183,Truncating
138184,all
138185,tables
138186,in
138187,a
138188,postgres
138189,database
138190,has
138191,some
138192,good
138193,answers
138194,.
138195,So
138196,in
138197,order
138198,to
138199,parse
138200,a
138201,JSON
138202,with
138203,bash
138204,","
138205,I
138206,use
138207,python
138208,-mjson.tool
138209,to
138210,grep
138211,the
138212,field
138213,and
138214,awk
138215,to
138216,get
138217,the
138218,value
138219,.
138220,I
138221,used
138222,to
138223,pipe
138224,it
138225,right
138226,after
138227,curl
138228,","
138229,so
138230,I
138231,could
138232,do
138233,something
138234,like
138235,curl
138236,$url
138237,|
138238,python
138239,-mjson.tool
138240,|
138241,grep
138242,(something)
138243,|
138244,awk
138245,(something)
138246,But
138247,I
138248,want
138249,to
138250,store
138251,the
138252,curl
138253,output
138254,to
138255,a
138256,variable
138257,and
138258,send
138259,that
138260,to
138261,the
138262,python
138263,-mjson.tool.
138264,I
138265,tried
138266,python
138267,-mjson.tool
138268,$json
138269,or
138270,python
138271,-mjson.tool
138272,<<<
138273,$json
138274,but
138275,neither
138276,has
138277,worked
138278,.
138279,Is
138280,there
138281,a
138282,way
138283,to
138284,feed
138285,in
138286,a
138287,json
138288,variable
138289,to
138290,python
138291,?
138292,Also
138293,","
138294,I
138295,cannot
138296,use
138297,jq
138298,.
138299,In
138300,bash
138301,","
138302,you
138303,need
138304,to
138305,quote
138306,the
138307,variable
138308,.
138309,If
138310,you
138311,don
138312,"'t,"
138313,it
138314,will
138315,collapse
138316,the
138317,whitespace
138318,:
138319,Consider
138320,the
138321,sliders_app
138322,.py
138323,example
138324,in
138325,Bokeh
138326,.
138327,I
138328,would
138329,like
138330,to
138331,have
138332,the
138333,ability
138334,to
138335,update
138336,the
138337,plot
138338,at
138339,regular
138340,time
138341,intervals
138342,.
138343,For
138344,example
138345,","
138346,say
138347,we
138348,want
138349,to
138350,time
138351,-shift
138352,the
138353,plot
138354,every
138355,10
138356,seconds
138357,.
138358,How
138359,can
138360,I
138361,do
138362,this
138363,in
138364,the
138365,context
138366,of
138367,an
138368,app
138369,?
138370,To
138371,illustrate
138372,the
138373,goal
138374,","
138375,I
138376,would
138377,like
138378,to
138379,add
138380,the
138381,following
138382,extremely
138383,simple
138384,logic
138385,to
138386,the
138387,app
138388,that
138389,simply
138390,shifts
138391,X
138392,and
138393,Y
138394,cyclically
138395,.
138396,Note
138397,that
138398,there
138399,is
138400,no
138401,easy
138402,way
138403,to
138404,insert
138405,this
138406,loop
138407,into
138408,the
138409,original
138410,sliders_app
138411,.py
138412,(where
138413,would
138414,it
138415,go
138416,?).
138417,Is
138418,there
138419,any
138420,way
138421,to
138422,do
138423,this
138424,in
138425,Bokeh
138426,?
138427,Does
138428,Bokeh
138429,perhaps
138430,have
138431,any
138432,timer
138433,widgets
138434,to
138435,which
138436,one
138437,could
138438,hook
138439,up
138440,a
138441,timer
138442,callback
138443,to
138444,update
138445,data
138446,sources
138447,?
138448,If
138449,not
138450,","
138451,is
138452,there
138453,a
138454,plan
138455,to
138456,incorporate
138457,this
138458,functionality
138459,some
138460,time
138461,down
138462,the
138463,road
138464,?
138465,Update
138466,It
138467,looks
138468,like
138469,spectrogram
138470,.py
138471,uses
138472,threading
138473,to
138474,handle
138475,this
138476,type
138477,of
138478,updates
138479,.
138480,For
138481,anyone
138482,interested
138483,","
138484,this
138485,may
138486,be
138487,the
138488,way
138489,to
138490,pull
138491,it
138492,off
138493,.
138494,There
138495,are
138496,a
138497,few
138498,options
138499,.
138500,The
138501,AjaxDataSource
138502,can
138503,cause
138504,the
138505,client
138506,to
138507,pull
138508,from
138509,a
138510,REST
138511,endpoint
138512,directly
138513,","
138514,on
138515,a
138516,periodic
138517,basis
138518,.
138519,Here
138520,is
138521,an
138522,example
138523,that
138524,shows
138525,its
138526,"use:
https://github.com/bokeh/bokeh/blob/master/examples/plotting/file/ajax_source_realtime.py
Note that the spectrogram will probably be rewritten soon to use this, and reduce the amount of JS that is written by hand. (The spectrogram is fairly sophisticated and has some custom JS, we are always trying to reduce that amount over time)"
138527,Also
138528,it
138529,is
138530,worth
138531,mentioning
138532,that
138533,the
138534,threading
138535,in
138536,the
138537,spectrogram
138538,has
138539,to
138540,do
138541,with
138542,the
138543,server
138544,side
138545,of
138546,things
138547,","
138548,it
138549,does
138550,not
138551,really
138552,have
138553,anything
138554,to
138555,do
138556,with
138557,Bokeh
138558,","
138559,per
138560,se
138561,","
138562,or
138563,with
138564,getting
138565,updates
138566,into
138567,Bokeh
138568,.
138569,If
138570,you
138571,are
138572,running
138573,an
138574,app
138575,in
138576,the
138577,Bokeh
138578,server
138579,","
138580,you
138581,can
138582,simply
138583,update
138584,the
138585,data
138586,source
138587,model
138588,however
138589,often
138590,you
138591,like
138592,","
138593,and
138594,the
138595,plot
138596,will
138597,respond
138598,.
138599,This
138600,is
138601,how
138602,you
138603,get
138604,content
138605,of
138606,an
138607,e
138608,-mail
138609,i
138610,.e.
138611,*.eml
138612,file
138613,.
138614,This
138615,works
138616,perfectly
138617,on
138618,Python2
138619,.5
138620,-
138621,2
138622,.7.
138623,Try
138624,it
138625,on
138626,3
138627,.
138628,It
138629,should
138630,work
138631,as
138632,well
138633,.
138634,I
138635,programmed
138636,this
138637,for
138638,my
138639,mailgroup
138640,using
138641,mailbox
138642,","
138643,that
138644,is
138645,why
138646,it
138647,is
138648,so
138649,convoluted
138650,.
138651,It
138652,never
138653,failed
138654,me
138655,.
138656,Never
138657,any
138658,junk
138659,.
138660,If
138661,message
138662,is
138663,multipart
138664,","
138665,output
138666,dictionary
138667,will
138668,contain
138669,a
138670,key
138671,"""files"""
138672,(a
138673,sub
138674,dict
138675,)
138676,with
138677,all
138678,filenames
138679,of
138680,extracted
138681,other
138682,files
138683,that
138684,were
138685,not
138686,text
138687,or
138688,html
138689,.
138690,That
138691,was
138692,a
138693,way
138694,of
138695,extracting
138696,attachments
138697,and
138698,other
138699,binary
138700,data
138701,.
138702,You
138703,may
138704,change
138705,it
138706,in
138707,pullout
138708,"(),"
138709,or
138710,just
138711,change
138712,the
138713,behaviour
138714,of
138715,file_exists
138716,()
138717,and
138718,save_file
138719,().
138720,construct_name
138721,()
138722,constructs
138723,a
138724,filename
138725,out
138726,of
138727,message
138728,id
138729,and
138730,multipart
138731,message
138732,filename
138733,","
138734,if
138735,there
138736,is
138737,one
138738,.
138739,In
138740,pullout
138741,()
138742,the
138743,Text
138744,and
138745,Html
138746,variables
138747,are
138748,strings
138749,.
138750,For
138751,online
138752,mailgroup
138753,it
138754,was
138755,OK
138756,to
138757,get
138758,any
138759,text
138760,or
138761,HTML
138762,packed
138763,into
138764,multipart
138765,that
138766,wasn
138767,'t
138768,an
138769,attachment
138770,at
138771,once
138772,.
138773,If
138774,you
138775,need
138776,something
138777,more
138778,sophisticated
138779,change
138780,Text
138781,and
138782,Html
138783,to
138784,lists
138785,and
138786,append
138787,to
138788,them
138789,and
138790,add
138791,them
138792,as
138793,needed
138794,.
138795,Nothing
138796,problematic
138797,.
138798,Maybe
138799,there
138800,are
138801,some
138802,errors
138803,here
138804,","
138805,because
138806,it
138807,is
138808,intended
138809,to
138810,work
138811,with
138812,mailbox
138813,".Message(),"
138814,not
138815,with
138816,email
138817,.Message().
138818,I
138819,tried
138820,it
138821,on
138822,email
138823,.Message()
138824,and
138825,it
138826,worked
138827,fine
138828,.
138829,You
138830,said
138831,","
138832,you
138833,"""wish"
138834,to
138835,list
138836,them
138837,all
138838,"""."
138839,From
138840,where
138841,?
138842,If
138843,you
138844,refer
138845,to
138846,the
138847,POP3
138848,mailbox
138849,or
138850,a
138851,mailbox
138852,of
138853,some
138854,nice
138855,open
138856,-source
138857,mailer
138858,","
138859,then
138860,you
138861,do
138862,it
138863,using
138864,mailbox
138865,module
138866,.
138867,If
138868,you
138869,want
138870,to
138871,list
138872,them
138873,from
138874,others
138875,","
138876,then
138877,you
138878,have
138879,a
138880,problem
138881,.
138882,For
138883,example
138884,","
138885,to
138886,get
138887,mails
138888,from
138889,MS
138890,Outlook
138891,","
138892,you
138893,have
138894,to
138895,know
138896,how
138897,to
138898,read
138899,OLE2
138900,compound
138901,files
138902,.
138903,Other
138904,mailers
138905,rarely
138906,refer
138907,to
138908,them
138909,as
138910,*.eml
138911,files
138912,","
138913,so
138914,I
138915,think
138916,this
138917,is
138918,exactly
138919,what
138920,you
138921,would
138922,like
138923,to
138924,do
138925,.
138926,Then
138927,search
138928,on
138929,PyPI
138930,for
138931,olefile
138932,or
138933,compoundfiles
138934,module
138935,and
138936,Google
138937,around
138938,for
138939,how
138940,to
138941,extract
138942,an
138943,e
138944,-mail
138945,from
138946,MS
138947,Outlook
138948,inbox
138949,file
138950,.
138951,Or
138952,save
138953,yourself
138954,a
138955,mess
138956,and
138957,just
138958,export
138959,them
138960,from
138961,there
138962,to
138963,some
138964,directory
138965,.
138966,When
138967,you
138968,have
138969,them
138970,as
138971,eml
138972,files
138973,","
138974,then
138975,apply
138976,this
138977,code
138978,.
138979,I
138980,found
138981,this
138982,code
138983,much
138984,simpler
138985,I
138986,do
138987,not
138988,known
138989,how
138990,to
138991,load
138992,a
138993,eml
138994,file
138995,in
138996,python
138997,3
138998,.4.
138999,I
139000,want
139001,to
139002,list
139003,all
139004,and
139005,read
139006,all
139007,of
139008,them
139009,in
139010,python
139011,.
139012,I
139013,was
139014,able
139015,to
139016,resolve
139017,it
139018,by
139019,taking
139020,out
139021,the
139022,need
139023,for
139024,the
139025,variable
139026,in
139027,the
139028,route
139029,.
139030,I
139031,am
139032,trying
139033,to
139034,accomplish
139035,having
139036,when
139037,the
139038,user
139039,puts
139040,keywords
139041,into
139042,the
139043,form
139044,.search
139045,it
139046,passes
139047,those
139048,keywords
139049,to
139050,the
139051,route
139052,as
139053,the
139054,variable
139055,.
139056,But
139057,I
139058,have
139059,been
139060,unsuccessful
139061,in
139062,accomplishing
139063,this
139064,.
139065,So
139066,far
139067,I
139068,have
139069,this
139070,as
139071,the
139072,bootstrap
139073,","
139074,Here
139075,is
139076,my
139077,flask
139078,route
139079,and
139080,form
139081,.
139082,I
139083,got
139084,2
139085,lists
139086,to
139087,plot
139088,a
139089,time
139090,series
139091,graph
139092,using
139093,matplotlib
139094,I
139095,wrote
139096,a
139097,code
139098,to
139099,plot
139100,a
139101,graph
139102,using
139103,these
139104,two
139105,lists
139106,","
139107,which
139108,is
139109,as
139110,follows
139111,:
139112,I
139113,added
139114,this
139115,set
139116,of
139117,codes
139118,to
139119,plot
139120,the
139121,average
139122,of
139123,the
139124,values
139125,of
139126,list
139127,r1
139128,i
139129,.e:
139130,but
139131,the
139132,code
139133,started
139134,throwing
139135,an
139136,error
139137,saying
139138,:
139139,Is
139140,there
139141,any
139142,direct
139143,method
139144,in
139145,matplotlib
139146,to
139147,add
139148,an
139149,average
139150,line
139151,into
139152,a
139153,graph
139154,??
139155,Thanks
139156,for
139157,help
139158,..
139159,r1
139160,is
139161,a
139162,list
139163,of
139164,strings
139165,not
139166,actual
139167,floats
139168,/ints
139169,so
139170,obviously
139171,you
139172,cannot
139173,divide
139174,a
139175,string
139176,by
139177,a
139178,an
139179,int
139180,","
139181,you
139182,need
139183,to
139184,cast
139185,to
139186,float
139187,in
139188,your
139189,lambda
139190,or
139191,convert
139192,the
139193,list
139194,content
139195,to
139196,floats
139197,before
139198,you
139199,pass
139200,it
139201,:
139202,The
139203,change
139204,does
139205,work
139206,:
139207,Also
139208,using
139209,sum
139210,would
139211,be
139212,a
139213,lot
139214,simpler
139215,to
139216,get
139217,the
139218,average
139219,:
139220,I
139221,'m
139222,not
139223,100
139224,%
139225,sure
139226,I
139227,understand
139228,what
139229,you
139230,'re
139231,asking
139232,","
139233,and
139234,am
139235,rusty
139236,with
139237,pyparsing
139238,","
139239,but
139240,I
139241,think
139242,Group
139243,will
139244,help
139245,you
139246,.
139247,I
139248,have
139249,some
139250,data
139251,that
139252,can
139253,be
139254,parsed
139255,using
139256,the
139257,OneorMore
139258,function
139259,from
139260,pyparsing
139261,.
139262,Something
139263,like
139264,","
139265,where
139266,bar
139267,and
139268,foo
139269,are
139270,2
139271,parsers
139272,.
139273,The
139274,problem
139275,with
139276,this
139277,function
139278,is
139279,that
139280,everytime
139281,that
139282,OneorMore
139283,match
139284,foo
139285,and
139286,bar
139287,parsers
139288,in
139289,the
139290,data
139291,stream
139292,","
139293,the
139294,corresponding
139295,values
139296,associated
139297,with
139298,the
139299,keys
139300,"""foo"""
139301,and
139302,"""bar"""
139303,are
139304,updated
139305,".But,"
139306,how
139307,can
139308,I
139309,accumulate
139310,all
